Adult-TDM-Protocol-Vancomycin-and-Aminoglycosides	https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Protocol-002.pdf
Headache-Disorder	https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Protocol-004.pdf
DKA-HHS-Protocol	https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Protocol-005.pdf
Pediatric-DKA-HHS-Protocol	https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Protocol-006.pdf
Inpatient-Hypoglycemia-Management	https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Protocol-007.pdf
Hypoglycemia-Infants-Children-Under-14	https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Protocol-008.pdf
Neuropathic-Pain	https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Protocol-009.pdf
Palliative-Care-End-Of-Life	https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Protocol-010.pdf
Crash-Cart-Items-2024	https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/Crash_Cart_2024.pdf
Pediatric-TDM-Protocol-Vancomycin-and-Aminoglycosides	https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Protocol-012.pdf
Rheumatoid-Arthritis-Adults	https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Protocol-014.pdf
Antibiotic-Surgical-Prophylaxis	https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Protocol-015.pdf
Alcohol-and-Drug-Abuse-Treatment	https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/Treatments-Protocols-of-Alcohol-and-Drugs-Abuse.pdf
Warfarin-Monitoring-Adults	https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Protocol-017.pdf
Diabetes-Pharmacotherapy-Clinic-Guidelines	https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/Diabetes-Pharmacotherapy-Clinic-Guidelines.pdf
Familial-Hypercholesterolemia	https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Protocol-019.pdf
Safe-Use-of-Contrast-Media-Radiology	https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/Protocols-of-CM.pdf
Anaphylaxis-Management-Adults-Pediatrics	https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Saudi-MoH-Protocol-for-Management-of-Anaphylaxis-V1.2.pdf
Saudi-Diabetes-Clinical-Practice-Guidelines	https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Saudi-Diabetes-Clinical-Practice-Guidelines.pdf
Lower-Respiratory-Tract-Infections	https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Lower-Respiratory-Tract-Infections-Management-Protocol.pdf
Skin-and-Soft-Tissue-Infection	https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Skin-and-soft-tissue-Infection-Management-Protocol.pdf
Urinary-Tract-Infection	https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Urinary-Tract-Infection-management-protocol.pdf
Adult-Electrolyte-Replacement-Therapy	https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Adults-Electrolyte-Replacement-Therapy-protocol.pdf
VTE-Prevention-Adults-v1.7	https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/VTE_prophylaxis_PROTOCOL_V1.7_withForms_18_Sept_2024.pdf
